ID,Year,Month,Region,Exp Vol YTD (0000 parcels),Exp Revenue YTD (RMB '0000),Exp Vol (0000 parcels),Exp Revenue (RMB '0000)
2012/11,2012,11,Jiangxi,4838.3,75248,583.3,8455
2012/11,2012,11,Jilin Province,3462.9,72910.3,386.6,8402.1
2012/11,2012,11,Liaoning,6969.3,162441.6,793.8,17281.2
2012/11,2012,11,Ningxia,2510.3,44375.3,277.1,4811.3
2012/11,2012,11,Qinghai,255.8,8933.4,28.8,949.6
2012/11,2012,11,Shaanxi,4564.7,92179.6,529.9,9572.8
2012/11,2012,11,Shandong,21804.5,373778.7,2675.1,41996.3
2012/11,2012,11,Shanghai,53410.2,1616788.7,6999.5,193478.5
2012/11,2012,11,Shanxi,2562.4,51260.9,274.1,4967.2
2012/11,2012,11,Sichuan,11516.8,202397.5,1381.8,22859.5
2012/11,2012,11,Tianjin,5781.7,131287.5,688.9,14511.6
2012/11,2012,11,Tibet,298.8,11667.5,34.2,1614.6
2012/11,2012,11,Xinjiang,2139.1,63724.1,283.6,9216.8
2012/11,2012,11,Yunnan,3391.1,76868,391.8,8411.3
2012/11,2012,11,Zhejiang,72198.9,1062686.5,10931.2,141829.4
2012/12,2012,12,Anhui,9731.4,145715.8,1150.5,15535.3
2012/12,2012,12,Beijing,48073.7,762737,5816.9,85571
2012/12,2012,12,Chongqing Province,5497.9,103426.5,627.3,10989.1
2012/12,2012,12,Fujian,25593.8,420985.5,3177.9,43313.5
2012/12,2012,12,Gansu,1470.3,35255.3,138.7,3849.7
2012/12,2012,12,Guangdong,133770.5,2456278.2,15086.2,257431.3
2012/12,2012,12,Guangxi,4395.1,87490.9,488,9260.4
2012/12,2012,12,Guizhou,1801,40386.8,196.5,3449.6
2012/12,2012,12,Hainan,1123.6,23230.1,123.1,2475.3
2012/12,2012,12,Hebei,12469.1,214740.6,1449.6,22055.4
2012/12,2012,12,Heilongjiang,3623.5,81909.5,343.5,8056.9
2012/12,2012,12,Henan,12503.4,192209.6,1394.3,20245.2
2012/12,2012,12,Hubei,11629.8,183033.8,1206.2,18730.2
2012/12,2012,12,Hunan,10022.7,164752.9,1242.6,17763.3
2012/12,2012,12,Inner Mongolia,2440,58718.6,253.8,6265.1
2012/12,2012,12,Jiangsu,63870.5,1034124,8176.4,100376.3
2012/12,2012,12,Jiangxi,5472.6,84144.3,634.3,8896.3
2012/12,2012,12,Jilin Province,3854.4,80722.5,391.5,7812.2
2012/12,2012,12,Liaoning,7757.4,179310.6,788.1,16869
2012/12,2012,12,Ningxia,2967.8,52709,457.5,8333.7
2012/12,2012,12,Qinghai,286.7,9844.1,30.9,910.7
2012/12,2012,12,Shaanxi,5085,101893.6,520.3,9714
2012/12,2012,12,Shandong,24731.8,419168.3,2927.3,45389.6
2012/12,2012,12,Shanghai,59905.3,1828629.3,6495.1,211840.6
2012/12,2012,12,Shanxi,2805.3,54284.2,242.9,3023.3
2012/12,2012,12,Sichuan,12814.4,225753.7,1297.6,23356.2
2012/12,2012,12,Tianjin,6364,144376.7,582.3,13089.2
2012/12,2012,12,Tibet,320.1,12989.2,21.3,1321.7
2012/12,2012,12,Xinjiang,2406,71803.8,266.9,8079.7
2012/12,2012,12,Yunnan,3774.4,85357.5,383.3,8489.5
2012/12,2012,12,Zhejiang,81986.8,1197342.6,9787.9,134656.1
2013/01,2013,1,Anhui,,,,
2013/01,2013,1,Beijing,,,,
2013/01,2013,1,Chongqing Province,,,,
2013/01,2013,1,Fujian,,,,
2013/01,2013,1,Gansu,,,,
2013/01,2013,1,Guangdong,,,,
2013/01,2013,1,Guangxi,,,,
2013/01,2013,1,Guizhou,,,,
2013/01,2013,1,Hainan,,,,
2013/01,2013,1,Hebei,,,,
2013/01,2013,1,Heilongjiang,,,,
2013/01,2013,1,Henan,,,,
2013/01,2013,1,Hubei,,,,
2013/01,2013,1,Hunan,,,,
2013/01,2013,1,Inner Mongolia,,,,
2013/01,2013,1,Jiangsu,,,,
2013/01,2013,1,Jiangxi,,,,
2013/01,2013,1,Jilin Province,,,,
2013/01,2013,1,Liaoning,,,,
2013/01,2013,1,Ningxia,,,,
2013/01,2013,1,Qinghai,,,,
2013/01,2013,1,Shaanxi,,,,
2013/01,2013,1,Shandong,,,,
2013/01,2013,1,Shanghai,,,,
2013/01,2013,1,Shanxi,,,,
2013/01,2013,1,Sichuan,,,,
2013/01,2013,1,Tianjin,,,,
2013/01,2013,1,Tibet,,,,
2013/01,2013,1,Xinjiang,,,,
2013/01,2013,1,Yunnan,,,,
2013/01,2013,1,Zhejiang,,,,
2013/02,2013,2,Anhui,1589.9,24165.1,,
2013/02,2013,2,Beijing,11537.5,135853.5,,
2013/02,2013,2,Chongqing Province,1337,17998.9,,
2013/02,2013,2,Fujian,4955.1,79544.6,,
2013/02,2013,2,Gansu,185.7,4941.2,,
2013/02,2013,2,Guangdong,22333.4,389624.3,,
2013/02,2013,2,Guangxi,766.9,14125.3,,
2013/02,2013,2,Guizhou,362.6,7885,,
2013/02,2013,2,Hainan,207.9,4088.1,,
2013/02,2013,2,Hebei,2269.8,35821.8,,
2013/02,2013,2,Heilongjiang,760.8,12500.1,,
2013/02,2013,2,Henan,2049.9,30417,,
2013/02,2013,2,Hubei,3076.6,41355.3,,
2013/02,2013,2,Hunan,1712.4,24041.7,,
2013/02,2013,2,Inner Mongolia,383.3,10422.8,,
2013/02,2013,2,Jiangsu,10523.8,165707.8,,
2013/02,2013,2,Jiangxi,968.1,15096.3,,
2013/02,2013,2,Jilin Province,581.9,11716,,
2013/02,2013,2,Liaoning,1442.9,29108.2,,
2013/02,2013,2,Ningxia,117.5,6572.2,,
2013/02,2013,2,Qinghai,47.9,1595.2,,
2013/02,2013,2,Shaanxi,1175.7,16386.8,,
2013/02,2013,2,Shandong,3645.3,72310.2,,
2013/02,2013,2,Shanghai,11835.7,315431.8,,
2013/02,2013,2,Shanxi,1440.6,8696.3,,
2013/02,2013,2,Sichuan,2552.3,39626.9,,
2013/02,2013,2,Tianjin,1014.8,22871.5,,
2013/02,2013,2,Tibet,43.1,1962.6,,
2013/02,2013,2,Xinjiang,654.7,10558.9,,
2013/02,2013,2,Yunnan,766.6,16278.8,,
2013/02,2013,2,Zhejiang,14051.4,198975.8,,
2013/03,2013,3,Anhui,2615.1,38474.8,1025.2,14309.7
2013/03,2013,3,Beijing,18395.7,217545.4,6858.2,81691.9
2013/03,2013,3,Chongqing Province,2104.9,28589.7,767.9,10590.8
2013/03,2013,3,Fujian,8182.4,128104.5,3227.3,48559.9
